delta,sim,method,coverage_overall,coverage_high_vol,coverage_low_vol
0.0,96,vol_scaling,0.848,0.984,0.712
0.0,97,standard,0.912,0.904,0.92
0.0,97,saci,0.908,0.896,0.92
0.0,97,vol_scaling,0.812,0.976,0.648
0.0,98,standard,0.92,0.904,0.936
0.0,98,saci,0.92,0.904,0.936
0.0,98,vol_scaling,0.82,0.968,0.672
0.0,99,standard,0.892,0.912,0.872
0.0,99,saci,0.888,0.904,0.872
0.0,99,vol_scaling,0.78,0.952,0.608
0.25,0,standard,0.916,0.888,0.944
0.25,0,saci,0.912,0.896,0.928
0.25,0,vol_scaling,0.868,0.976,0.76
0.25,1,standard,0.88,0.84,0.92
0.25,1,saci,0.884,0.872,0.896
0.25,1,vol_scaling,0.876,0.984,0.768
0.25,2,standard,0.952,0.944,0.96
0.25,2,saci,0.944,0.944,0.944
0.25,2,vol_scaling,0.9,0.992,0.808
0.25,3,standard,0.928,0.912,0.944
0.25,3,saci,0.92,0.912,0.928
0.25,3,vol_scaling,0.812,0.96,0.664
0.25,4,standard,0.932,0.928,0.936
0.25,4,saci,0.928,0.928,0.928
0.25,4,vol_scaling,0.844,0.992,0.696
0.25,5,standard,0.9,0.896,0.904
0.25,5,saci,0.888,0.896,0.88
0.25,5,vol_scaling,0.836,0.968,0.704
0.25,6,standard,0.876,0.832,0.92
0.25,6,saci,0.88,0.84,0.92
0.25,6,vol_scaling,0.828,0.96,0.696
0.25,7,standard,0.904,0.896,0.912
0.25,7,saci,0.908,0.912,0.904
0.25,7,vol_scaling,0.88,1.0,0.76
0.25,8,standard,0.9,0.888,0.912
0.25,8,saci,0.904,0.904,0.904
0.25,8,vol_scaling,0.848,0.968,0.728
0.25,9,standard,0.916,0.912,0.92
0.25,9,saci,0.916,0.912,0.92
0.25,9,vol_scaling,0.832,0.976,0.688
0.25,10,standard,0.9,0.896,0.904
0.25,10,saci,0.896,0.896,0.896
0.25,10,vol_scaling,0.88,1.0,0.76
0.25,11,standard,0.9,0.872,0.928
0.25,11,saci,0.9,0.872,0.928
0.25,11,vol_scaling,0.812,0.944,0.68
0.25,12,standard,0.904,0.856,0.952
0.25,12,saci,0.9,0.864,0.936
0.25,12,vol_scaling,0.896,1.0,0.792
0.25,13,standard,0.92,0.896,0.944
0.25,13,saci,0.912,0.896,0.928
0.25,13,vol_scaling,0.84,0.96,0.72
0.25,14,standard,0.852,0.848,0.856
0.25,14,saci,0.864,0.872,0.856
0.25,14,vol_scaling,0.788,0.928,0.648
0.25,15,standard,0.896,0.88,0.912
0.25,15,saci,0.888,0.888,0.888
0.25,15,vol_scaling,0.812,0.96,0.664
0.25,16,standard,0.86,0.792,0.928
0.25,16,saci,0.86,0.8,0.92
0.25,16,vol_scaling,0.86,0.96,0.76
0.25,17,standard,0.916,0.912,0.92
0.25,17,saci,0.904,0.912,0.896
0.25,17,vol_scaling,0.828,0.968,0.688
0.25,18,standard,0.876,0.856,0.896
0.25,18,saci,0.872,0.848,0.896
0.25,18,vol_scaling,0.836,0.944,0.728
0.25,19,standard,0.916,0.912,0.92
0.25,19,saci,0.916,0.912,0.92
0.25,19,vol_scaling,0.852,0.984,0.72
0.25,20,standard,0.924,0.928,0.92
0.25,20,saci,0.924,0.936,0.912
0.25,20,vol_scaling,0.852,0.992,0.712
0.25,21,standard,0.944,0.92,0.968
0.25,21,saci,0.928,0.92,0.936
0.25,21,vol_scaling,0.884,0.976,0.792
0.25,22,standard,0.928,0.928,0.928
0.25,22,saci,0.904,0.92,0.888
0.25,22,vol_scaling,0.868,0.984,0.752
0.25,23,standard,0.952,0.944,0.96
0.25,23,saci,0.94,0.944,0.936
0.25,23,vol_scaling,0.812,0.968,0.656
0.25,24,standard,0.908,0.88,0.936
0.25,24,saci,0.896,0.888,0.904
0.25,24,vol_scaling,0.824,0.952,0.696
0.25,25,standard,0.864,0.808,0.92
0.25,25,saci,0.876,0.848,0.904
0.25,25,vol_scaling,0.836,0.952,0.72
0.25,26,standard,0.956,0.944,0.968
0.25,26,saci,0.952,0.944,0.96
0.25,26,vol_scaling,0.876,0.968,0.784
0.25,27,standard,0.936,0.912,0.96
0.25,27,saci,0.932,0.912,0.952
0.25,27,vol_scaling,0.828,0.968,0.688
0.25,28,standard,0.932,0.92,0.944
0.25,28,saci,0.928,0.912,0.944
0.25,28,vol_scaling,0.876,1.0,0.752
0.25,29,standard,0.908,0.912,0.904
0.25,29,saci,0.904,0.928,0.88
0.25,29,vol_scaling,0.852,1.0,0.704
0.25,30,standard,0.876,0.84,0.912
0.25,30,saci,0.876,0.856,0.896
0.25,30,vol_scaling,0.832,0.976,0.688
0.25,31,standard,0.916,0.92,0.912
0.25,31,saci,0.928,0.944,0.912
0.25,31,vol_scaling,0.86,1.0,0.72
0.25,32,standard,0.944,0.936,0.952
0.25,32,saci,0.948,0.944,0.952
0.25,32,vol_scaling,0.82,0.992,0.648
0.25,33,standard,0.856,0.84,0.872
0.25,33,saci,0.86,0.856,0.864
0.25,33,vol_scaling,0.812,1.0,0.624
0.25,34,standard,0.912,0.92,0.904
0.25,34,saci,0.908,0.912,0.904
0.25,34,vol_scaling,0.824,0.984,0.664
0.25,35,standard,0.888,0.896,0.88
0.25,35,saci,0.876,0.896,0.856
0.25,35,vol_scaling,0.824,0.96,0.688
0.25,36,standard,0.884,0.832,0.936
0.25,36,saci,0.864,0.824,0.904
