method,lambda,beta,crowding_bin,covered,set_size,crowding,factor
cao,,0.25,low,1,1,0.12160531393286161,MKT
cao,,0.25,low,1,1,0.23148046538709285,MKT
cao,,0.25,low,1,1,0.23691059563077707,MKT
cao,,0.25,medium,1,1,0.47400269561465724,MKT
cao,,0.25,medium,1,1,0.4970307148059514,MKT
cao,,0.25,medium,1,1,0.5189138684269556,MKT
cao,,0.25,high,1,1,0.6334696634210449,MKT
cao,,0.25,high,1,1,0.5742218372497473,MKT
cao,,0.25,high,1,1,0.652215127494034,MKT
cao,,0.25,high,0,0,0.8132517216917011,MKT
cao,,0.5,low,1,1,0.2964561605553757,MKT
cao,,0.5,low,1,1,0.2918212395034469,MKT
cao,,0.5,low,1,1,0.12160531393286161,MKT
cao,,0.5,low,1,1,0.23148046538709285,MKT
cao,,0.5,low,1,1,0.23691059563077707,MKT
cao,,0.5,medium,1,1,0.47400269561465724,MKT
cao,,0.5,medium,1,1,0.4970307148059514,MKT
cao,,0.5,medium,1,1,0.5189138684269556,MKT
cao,,0.5,high,1,1,0.6334696634210449,MKT
cao,,0.5,high,1,1,0.5742218372497473,MKT
cao,,0.5,high,1,1,0.652215127494034,MKT
cao,,0.5,high,0,0,0.8132517216917011,MKT
cao,,1.0,low,1,1,0.2964561605553757,MKT
cao,,1.0,low,1,1,0.2918212395034469,MKT
cao,,1.0,low,1,1,0.12160531393286161,MKT
cao,,1.0,low,1,1,0.23148046538709285,MKT
cao,,1.0,low,1,1,0.23691059563077707,MKT
cao,,1.0,medium,1,1,0.47400269561465724,MKT
cao,,1.0,medium,1,1,0.4970307148059514,MKT
cao,,1.0,medium,1,1,0.5189138684269556,MKT
cao,,1.0,high,1,1,0.6334696634210449,MKT
cao,,1.0,high,1,1,0.5742218372497473,MKT
cao,,1.0,high,1,1,0.652215127494034,MKT
cao,,1.0,high,0,0,0.8132517216917011,MKT
cao,,2.0,low,1,1,0.2964561605553757,MKT
cao,,2.0,low,1,1,0.2918212395034469,MKT
cao,,2.0,low,1,1,0.12160531393286161,MKT
cao,,2.0,low,1,1,0.23148046538709285,MKT
cao,,2.0,low,1,1,0.23691059563077707,MKT
cao,,2.0,medium,1,1,0.47400269561465724,MKT
cao,,2.0,medium,1,1,0.4970307148059514,MKT
cao,,2.0,medium,1,1,0.5189138684269556,MKT
cao,,2.0,high,1,1,0.6334696634210449,MKT
cao,,2.0,high,1,1,0.5742218372497473,MKT
cao,,2.0,high,1,1,0.652215127494034,MKT
cao,,2.0,high,0,0,0.8132517216917011,MKT
split,,,high,1,1,0.7059764388044797,MKT
split,,,high,1,1,0.7111401128208492,MKT
split,,,high,1,2,0.6508947485997786,MKT
split,,,high,1,1,0.615844744204292,MKT
split,,,medium,1,2,0.5279219880721183,MKT
split,,,medium,1,1,0.47371312484374034,MKT
split,,,medium,1,2,0.5174461853125949,MKT
split,,,medium,1,1,0.5225436304910874,MKT
split,,,high,1,1,0.5851710483056328,MKT
split,,,high,1,1,0.5561539491236668,MKT
split,,,high,1,2,0.5604445005353708,MKT
split,,,high,1,2,0.5484874157821733,MKT
aci,,,high,1,1,0.7059764388044797,MKT
aci,,,high,1,1,0.7111401128208492,MKT
aci,,,high,1,1,0.6508947485997786,MKT
aci,,,high,1,1,0.615844744204292,MKT
aci,,,medium,1,1,0.5279219880721183,MKT
aci,,,medium,1,1,0.47371312484374034,MKT
aci,,,medium,0,1,0.5174461853125949,MKT
aci,,,medium,1,1,0.5225436304910874,MKT
aci,,,high,1,1,0.5851710483056328,MKT
aci,,,high,1,1,0.5561539491236668,MKT
aci,,,high,1,2,0.5604445005353708,MKT
aci,,,high,1,2,0.5484874157821733,MKT
crowding_weighted,0.5,,high,1,1,0.7059764388044797,MKT
